delta0,delta1,delta2,delta3
-4,0,1,-3
-4,0,1,-3
-4,-5,1,-2
-4,-2,2,-1
-4,-2,2,-1
-3,-2,2,-1
-2,0,3,1
-2,0,3,1
-2,0,3,3
-2,-4,4,3
-2,-4,4,3
-2,-1,9,5
0,5,9,9
0,5,9,9
5,5,10,9
8,5,18,17
8,5,18,17
8,10,19,17
13,22,23,20
13,22,23,20
13,22,28,28
13,29,29,31
13,29,29,31
13,30,31,32
18,34,40,35
18,34,40,35
18,34,45,46
19,34,54,54
19,34,55,54
19,34,69,60
19,32,72,63
19,32,77,63
24,32,88,68
24,31,89,72
24,31,89,72
21,31,100,79
20,27,103,83
20,27,103,83
20,27,107,86
20,27,118,93
20,27,118,93
20,24,118,107
21,24,111,114
21,24,111,120
24,21,111,147
24,19,95,151
24,19,94,159
17,19,91,168
18,18,69,179
18,13,69,179
18,13,64,181
18,13,63,181
18,13,63,181
18,13,53,173
18,13,52,173
18,13,52,173
18,18,44,169
16,18,34,159
16,18,34,140
13,12,36,137
16,12,36,111
16,12,36,94
17,12,33,87
17,12,33,68
16,11,33,68
16,11,32,47
16,11,32,46
16,11,32,46
16,11,22,34
9,0,20,27
9,0,20,23
4,-4,6,7
4,-3,6,3
4,-3,6,3
-1,-3,3,0
-1,-4,3,0
-1,-4,3,0
