delta0,delta1,delta2,delta3
-7,-3,1,-2
-3,-3,0,0
-3,-3,0,0
-3,-4,0,0
-2,-8,6,2
-2,-8,3,2
0,-4,3,2
0,-4,3,4
0,-4,6,4
-1,-4,6,4
-1,-3,1,3
-1,-3,1,3
-1,-3,5,6
-1,-2,6,11
-1,-2,7,11
2,-1,6,11
2,0,10,12
2,3,10,12
5,0,10,12
5,1,10,17
5,1,10,17
5,1,14,22
5,6,15,23
5,6,15,23
5,6,15,26
8,5,19,30
9,5,19,30
9,5,20,44
8,6,20,44
8,6,20,44
8,11,20,56
11,11,24,60
11,11,25,61
11,11,25,65
7,13,25,68
7,13,26,75
8,13,26,81
8,14,30,84
8,15,30,85
8,15,33,93
10,15,34,98
12,15,42,98
12,16,45,98
11,16,47,91
11,16,56,91
15,15,65,90
15,22,67,82
15,22,78,78
18,28,78,77
18,28,70,56
18,28,67,52
18,33,54,50
13,33,32,32
11,29,25,27
10,21,21,23
6,11,14,14
5,6,12,11
3,4,6,9
3,2,6,9
1,-2,5,6
1,-2,1,4
1,-2,1,4
-2,-2,4,3
-2,-5,4,3
-2,-2,3,1
-2,-5,3,1
-5,-5,3,1
-6,-5,2,1
-6,0,2,1
