delta0,delta1,delta2,delta3
9,12,20,15
9,12,20,15
9,12,20,15
7,6,19,18
7,6,19,18
7,6,19,18
10,6,16,25
10,6,16,25
10,6,16,25
9,9,18,28
9,9,18,29
12,9,18,29
12,9,18,30
12,9,18,30
12,9,18,30
14,16,24,35
14,16,24,35
14,16,24,35
14,12,23,35
14,12,23,37
14,12,23,37
13,16,30,39
13,16,30,51
18,16,30,51
25,19,30,51
25,19,30,58
25,19,30,58
23,19,31,61
23,19,31,62
26,19,31,62
26,21,35,69
26,21,35,69
26,21,35,69
25,18,32,78
25,18,32,79
25,18,32,79
21,16,31,86
21,16,31,90
34,27,32,90
34,27,36,94
34,25,36,96
26,19,36,104
23,17,36,106
23,17,36,111
23,17,36,111
23,17,37,120
25,19,37,127
29,19,44,127
29,22,46,135
29,22,46,142
28,22,47,147
27,21,59,153
27,21,59,156
27,21,61,156
32,28,73,154
32,28,78,152
32,28,87,152
29,24,89,133
29,24,101,128
31,24,107,126
34,30,113,110
34,33,118,107
34,33,118,101
38,36,121,87
38,36,117,87
38,36,116,87
37,44,90,75
36,45,83,75
36,45,78,75
36,45,59,62
36,45,59,62
36,45,51,62
28,35,42,46
28,35,40,43
28,29,38,43
16,16,29,29
16,16,29,26
11,16,29,26
10,9,21,15
10,9,21,15
10,9,21,15
11,5,17,10
11,5,17,10
11,5,17,10
11,13,15,14
11,13,15,13
11,13,15,13
