delta1,delta2,delta3,delta4
0114,0188,0320,0251,
0114,0188,0320,0251,
0116,0189,0319,0255,
0120,0189,0319,0255,
0120,0189,0319,0255,
0109,0195,0315,0258,
0109,0196,0315,0258,
0109,0196,0315,0258,
0113,0196,0320,0259,
0113,0196,0318,0259,
0113,0196,0318,0259,
0117,0195,0314,0255,
0116,0195,0314,0255,
0116,0195,0314,0255,
0113,0200,0313,0261,
0113,0200,0313,0261,
0113,0200,0313,0261,
0113,0193,0320,0259,
0113,0193,0320,0259,
0113,0193,0320,0259,
0113,0193,0320,0261,
0113,0193,0324,0261,
0113,0193,0324,0261,
0110,0197,0320,0260,
0110,0197,0320,0260,
0110,0197,0320,0260,
0114,0198,0316,0264,
0114,0201,0316,0265,
0114,0201,0316,0265,
0118,0198,0309,0263,
