delta1,delta2,delta3,delta4
0131,0231,0365,0264,
0131,0228,0368,0266,
0132,0228,0374,0266,
0132,0228,0374,0266,
0132,0228,0367,0265,
0132,0228,0366,0265,
0132,0228,0366,0265,
0126,0232,0356,0264,
0126,0232,0356,0264,
0126,0232,0356,0264,
0128,0230,0364,0267,
0128,0230,0364,0266,
0128,0230,0364,0266,
0126,0227,0353,0258,
0126,0227,0353,0258,
0126,0227,0353,0258,
0125,0228,0356,0262,
0125,0228,0356,0262,
0125,0228,0356,0262,
0130,0223,0360,0252,
0130,0223,0360,0252,
0130,0223,0360,0252,
0130,0228,0358,0257,
0131,0228,0358,0257,
0131,0228,0358,0257,
0132,0224,0350,0248,
0131,0224,0350,0248,
0131,0224,0350,0248,
0129,0227,0355,0256,
0129,0227,0356,0256,
