delta1,delta2,delta3,delta4
0133,0226,0462,0414,
0132,0223,0444,0403,
0132,0223,0444,0403,
0132,0223,0444,0403,
0130,0219,0440,0396,
0130,0219,0440,0396,
0130,0219,0440,0396,
0132,0222,0437,0387,
0129,0222,0437,0387,
0129,0222,0437,0387,
0129,0217,0440,0401,
0129,0217,0435,0398,
0129,0217,0435,0398,
0130,0217,0435,0397,
0130,0217,0435,0397,
0130,0217,0435,0397,
0128,0221,0439,0392,
0128,0221,0439,0392,
0128,0221,0439,0392,
0130,0216,0437,0396,
0130,0216,0437,0396,
0130,0216,0437,0396,
0131,0222,0439,0403,
0131,0222,0438,0398,
0131,0222,0438,0398,
0127,0212,0428,0389,
0127,0212,0428,0389,
0127,0212,0428,0389,
0129,0212,0424,0390,
0129,0212,0424,0390,
