delta1,delta2,delta3,delta4
0107,0172,0283,0278,
0107,0172,0283,0278,
0104,0169,0276,0271,
0104,0169,0276,0271,
0104,0169,0276,0271,
0106,0162,0267,0265,
0106,0162,0267,0265,
0106,0162,0267,0265,
0101,0168,0272,0266,
0101,0168,0272,0266,
0101,0168,0272,0266,
0100,0162,0265,0264,
0100,0162,0265,0264,
0100,0162,0265,0264,
0099,0163,0271,0259,
0099,0160,0268,0255,
0099,0160,0268,0255,
0100,0159,0262,0255,
0100,0159,0262,0262,
0100,0159,0262,0262,
0099,0159,0265,0256,
0099,0159,0265,0256,
0099,0159,0265,0256,
0101,0162,0270,0262,
0101,0162,0270,0262,
0101,0162,0270,0262,
0097,0164,0266,0258,
0097,0164,0266,0258,
0097,0164,0266,0258,
0097,0160,0266,0258,
