delta1,delta2,delta3,delta4
0123,0199,0383,0351,
0123,0199,0383,0351,
0121,0204,0383,0353,
0121,0204,0383,0353,
0121,0204,0383,0353,
0120,0201,0381,0344,
0120,0201,0381,0344,
0120,0201,0381,0344,
0120,0202,0382,0347,
0120,0202,0382,0347,
0120,0202,0382,0347,
0119,0201,0386,0352,
0119,0201,0385,0352,
0119,0201,0385,0352,
0123,0202,0385,0355,
0123,0207,0403,0368,
0123,0207,0403,0368,
0128,0217,0418,0385,
0128,0217,0423,0387,
0128,0217,0423,0387,
0127,0218,0431,0388,
0127,0218,0431,0388,
0127,0218,0431,0388,
0127,0220,0435,0392,
0127,0220,0437,0392,
0127,0220,0437,0392,
0133,0223,0440,0405,
0135,0228,0452,0414,
0135,0228,0452,0414,
0133,0226,0459,0414,
