delta1,delta2,delta3,delta4
0111,0187,0315,0263,
0114,0187,0318,0260,
0114,0187,0318,0260,
0117,0193,0316,0257,
0114,0196,0316,0257,
0114,0196,0316,0257,
0109,0189,0313,0265,
0109,0189,0313,0263,
0109,0189,0313,0263,
0116,0190,0309,0256,
0115,0190,0309,0256,
0115,0190,0309,0256,
0115,0192,0308,0262,
0116,0192,0308,0260,
0116,0192,0308,0260,
0111,0192,0313,0257,
0111,0195,0313,0257,
0111,0195,0313,0257,
0111,0188,0317,0259,
0111,0188,0317,0259,
0111,0188,0317,0259,
0112,0189,0309,0265,
0113,0189,0309,0261,
0113,0189,0309,0261,
0111,0191,0307,0259,
0111,0192,0307,0259,
0111,0192,0307,0259,
0113,0187,0310,0256,
0113,0187,0310,0256,
0113,0187,0310,0256,
