delta1,delta2,delta3,delta4
0144,0238,0506,0453,
0144,0243,0511,0453,
0144,0243,0511,0453,
0145,0240,0508,0455,
0141,0237,0498,0448,
0141,0237,0498,0448,
0134,0222,0444,0393,
0131,0216,0437,0385,
0131,0216,0408,0366,
0119,0201,0369,0328,
0119,0198,0363,0326,
0119,0198,0363,0326,
0115,0198,0353,0314,
0115,0198,0353,0314,
0115,0198,0353,0314,
0121,0198,0357,0319,
0120,0198,0361,0327,
0120,0198,0361,0327,
0120,0208,0375,0333,
0131,0218,0409,0370,
0131,0220,0444,0399,
0138,0228,0461,0401,
0155,0257,0552,0499,
0155,0257,0603,0538,
0164,0272,0603,0550,
0160,0270,0603,0538,
0160,0270,0585,0535,
0145,0235,0492,0443,
0137,0226,0465,0428,
0137,0226,0428,0390,
