delta1,delta2,delta3,delta4
0089,0125,0227,0185,
0086,0120,0223,0184,
0074,0110,0202,0164,
0074,0107,0191,0158,
0069,0103,0187,0152,
0070,0103,0187,0156,
0070,0103,0187,0156,
0087,0126,0224,0190,
0087,0127,0226,0194,
0091,0128,0232,0198,
0098,0137,0249,0216,
0098,0137,0252,0216,
0098,0137,0252,0216,
0094,0136,0252,0212,
0088,0134,0251,0203,
0083,0121,0214,0180,
0080,0116,0212,0175,
0070,0108,0192,0157,
0070,0108,0183,0154,
0071,0103,0183,0153,
0071,0103,0183,0153,
0071,0103,0185,0153,
0094,0135,0232,0199,
0099,0145,0252,0220,
0103,0152,0280,0236,
0119,0175,0329,0286,
0119,0175,0329,0286,
0117,0175,0329,0286,
0108,0175,0329,0286,
0103,0161,0288,0245,
