delta1,delta2,delta3,delta4
0114,0190,0327,0276,
0114,0190,0327,0276,
0119,0199,0327,0277,
0118,0199,0327,0279,
0118,0199,0327,0279,
0116,0195,0325,0279,
0116,0195,0325,0280,
0116,0195,0325,0280,
0117,0193,0332,0275,
0117,0193,0328,0275,
0117,0193,0328,0275,
0114,0194,0320,0277,
0114,0195,0320,0277,
0114,0195,0320,0277,
0114,0199,0331,0279,
0114,0196,0333,0279,
0114,0196,0333,0279,
0116,0196,0324,0272,
0116,0198,0324,0272,
0116,0198,0324,0272,
0116,0195,0325,0277,
0116,0195,0325,0277,
0116,0195,0325,0277,
0114,0192,0327,0277,
0114,0192,0327,0276,
0114,0192,0327,0276,
0113,0190,0328,0269,
0113,0190,0326,0269,
0113,0190,0326,0269,
0114,0192,0323,0267,
