11,10,9,20,22
11,10,9,20,22
11,9,9,25,22
13,9,12,25,27
13,10,12,27,27
13,10,12,28,27
12,7,16,28,26
12,7,16,28,26
12,8,17,37,32
14,12,22,37,39
14,12,22,40,39
14,12,22,44,44
20,18,26,48,48
22,18,26,50,50
23,19,37,57,57
27,21,39,62,60
28,23,43,63,62
28,23,46,69,62
27,22,50,69,62
27,22,50,69,62
27,22,50,70,59
29,28,53,70,63
30,28,53,71,63
30,28,57,72,63
30,28,59,74,64
30,28,59,74,64
30,29,69,76,65
29,29,69,76,65
29,29,69,76,65
29,27,78,81,64
29,27,78,82,65
29,27,87,86,65
27,26,89,92,65
29,24,94,92,67
29,24,94,97,67
29,24,100,105,67
20,21,104,116,66
20,21,105,118,66
20,21,105,129,66
20,21,105,133,64
24,21,102,143,64
24,19,102,158,65
25,19,86,161,65
25,19,80,164,65
25,16,76,167,67
23,16,57,167,67
23,16,52,155,67
23,14,47,153,81
26,16,38,145,82
26,16,38,140,97
26,16,37,128,114
23,13,37,111,121
23,13,37,94,127
24,13,37,81,144
30,20,37,69,144
31,20,37,69,123
31,20,40,69,114
31,20,40,69,92
31,20,40,68,87
29,18,39,58,70
18,9,21,35,40
16,9,21,34,36
14,8,20,31,35
11,5,14,18,17
11,5,14,18,17
9,5,14,18,17
8,2,10,15,7
8,2,10,15,7
8,2,10,15,7
5,-2,12,5,2
5,-2,10,5,2
5,3,10,5,2
5,3,4,3,5
5,3,4,3,5
3,1,1,3,5
8,6,4,5,3
