delta1,delta2,delta3,delta4
00002,00036,00011,00017
00008,00048,00024,00035
00008,00048,00019,00030
00008,00048,00019,00032
00008,00048,00019,00029
00008,00048,00019,00025
00008,00048,00019,00024
00002,00029,00009,00023
00000,00023,00006,00016
00005,00020,00010,00013
00005,00020,00010,00015
00005,00020,00010,00006
00005,00020,00010,00006
00005,00020,00010,00003
00005,00020,00010,00006
00000,00002,00001,00001
00000,00003,00001,00001
00000,-0004,00001,00001
00005,00000,00003,00001
00005,-0003,00003,00001
-0001,-0004,-0003,00004
00001,-0002,-0004,-0001
00000,00001,-0003,00000
-0002,-0005,-0001,00000
00002,00001,-0002,-0001
00005,-0006,-0003,-0001
00003,-0004,00002,00000
00002,-0006,-0001,-0002
-0001,-0002,00004,00002
-0001,-0004,-0002,-0001
00001,00002,00002,00001
00000,-0004,-0001,00001
-0002,00002,00005,00003
00000,-0002,-0001,-0002
-0001,00004,-0001,00001
00003,00007,-0002,-0002
00003,00005,00001,-0002
00001,00005,00004,00001
00001,00002,00003,00002
00004,00000,00003,00001
