delta1,delta2,delta3,delta4
00004,00033,00007,00011
00004,00032,00007,00011
00006,00045,00018,00031
00006,00045,00018,00032
00006,00045,00018,00029
00006,00045,00018,00023
00006,00045,00018,00024
00006,00045,00018,00017
00004,00021,00013,00018
00003,00013,00004,00008
00003,00014,00004,00008
00003,00005,00004,00008
00003,00005,00004,00008
00003,00004,00004,00008
00003,00008,00004,00008
00000,00004,00006,00004
00002,-0001,00007,00005
00001,-0002,00004,00003
00001,00001,00004,00005
00000,-0001,00005,00003
-0001,-0002,00000,00004
00000,00005,00002,00005
-0001,00003,00000,00003
-0001,00003,00001,00005
00000,00002,00000,00003
00000,00012,00001,00004
-0001,00004,00001,00003
00004,-0001,00001,00003
00000,-0007,00004,00003
-0001,00002,00001,00002
00000,-0007,-0002,00001
00001,00004,00001,00001
-0001,-0003,-0001,00001
00000,00005,00002,00001
-0002,-0005,-0001,-0001
-0001,00004,00001,00003
-0001,-0004,-0001,00001
00001,00003,00003,00003
00002,-0007,-0002,-0001
00003,-0006,-0002,00001
