delta1,delta2,delta3,delta4
00005,00037,00013,00026
00005,00037,00013,00026
00005,00037,00013,00029
00005,00037,00013,00031
00005,00037,00013,00030
00005,00037,00013,00033
00004,00043,00017,00030
00007,00044,00020,00028
00007,00044,00014,00028
00005,00034,00016,00026
00003,00029,00010,00016
00003,00027,00009,00017
00003,00022,00006,00011
00003,00022,00006,00007
00003,00022,00006,00007
00003,00022,00006,00007
00003,00022,00006,00002
00003,00022,00006,00000
00000,00002,00003,00004
00000,-0004,00003,00004
-0001,00000,00004,00004
-0001,-0004,00004,00004
00001,-0004,-0002,00001
00002,-0008,-0004,00000
00000,-0002,-0001,00000
-0001,-0008,-0003,00000
-0002,-0002,00001,-0001
-0001,-0005,-0005,-0001
00000,00001,-0002,00001
-0002,-0005,-0003,-0001
00003,-0001,00002,00001
-0001,-0008,-0002,-0002
00001,-0002,00001,00001
-0001,-0011,00001,-0001
00002,00004,00002,-0001
00001,00004,00000,-0001
00001,00004,00004,-0001
00000,00002,00003,00003
-0001,00003,00002,00001
00003,00003,00005,00002
