delta1,delta2,delta3,delta4
0019,0029,0045,0042,
0019,0029,0045,0042,
0013,0029,0043,0040,
0013,0028,0038,0040,
0013,0028,0038,0040,
0007,0012,0025,0022,
0007,0012,0023,0022,
0007,0012,0023,0022,
0005,0004,0013,0007,
0005,0004,0013,0007,
0005,0004,0013,0007,
0001,0002,0002,0004,
0001,0002,0002,0004,
0001,0002,0002,0004,
0004,0003,0008,0002,
0004,0003,0008,0002,
0004,0003,0008,0002,
0004,0001,0005,0004,
0007,0001,0005,0004,
0007,0001,0005,0004,
0005,0001,0005,0001,
0005,0001,0005,0001,
0005,0001,0005,0001,
0002,0001,0005,-001,
0002,0001,0005,-001,
0002,0001,0005,-001,
0004,0000,0007,0000,
0004,0000,0007,0000,
0004,0000,0007,0000,
0001,0001,0004,0001,
