delta1,delta2,delta3,delta4
0013,0017,0027,0026,
0013,0017,0027,0026,
0006,0019,0022,0021,
0006,0017,0022,0021,
0006,0017,0022,0021,
0003,-001,0009,0010,
0003,-001,0009,0010,
0003,-001,0009,0010,
-005,0006,0000,0008,
-005,0004,0000,0008,
-005,0004,0000,0008,
0001,0002,-002,-001,
0001,0002,-002,-001,
0001,0002,-002,-001,
0000,-001,0000,-002,
0000,-001,0000,-002,
0000,-001,0000,-002,
-001,-003,0000,0000,
-001,-003,0000,0000,
-001,-003,0000,0000,
-004,-001,-007,-003,
-004,-001,-007,-003,
-004,-001,-007,-003,
-004,0001,0000,0000,
-004,0001,0000,0000,
-004,0001,0000,0000,
0003,0001,0003,-001,
0003,0001,0001,-001,
0003,0001,0001,-001,
0002,0003,-001,-001,
