delta1,delta2,delta3,delta4
0011,0020,0026,0028,
0011,0020,0026,0028,
0012,0017,0029,0032,
0012,0017,0029,0032,
0012,0017,0029,0032,
0006,0005,0012,0019,
0006,0005,0012,0019,
0006,0005,0012,0019,
0006,0002,0007,0008,
0006,0002,0007,0008,
0006,0002,0007,0008,
-001,-003,0000,0003,
-001,-003,0000,0003,
-001,-003,0000,0003,
0001,0001,0000,0005,
0001,0001,0000,0005,
0001,0001,0000,0005,
0003,-001,0004,0002,
0003,-001,0004,0002,
0003,-001,0004,0002,
0002,0003,-001,0005,
0002,0003,-001,0005,
0002,0003,-001,0005,
-001,-001,-005,0002,
-001,-001,-005,0002,
-001,-001,-005,0002,
0003,-001,0004,0002,
0003,-001,0004,0002,
0003,-001,0004,0002,
0002,0001,0003,0003,
