delta1,delta2,delta3,delta4
0007,0016,0030,0021,
0016,0021,0033,0026,
0016,0021,0039,0026,
0018,0028,0049,0033,
0020,0034,0052,0037,
0020,0040,0055,0037,
0025,0044,0064,0054,
0032,0045,0068,0056,
0032,0051,0070,0056,
0039,0055,0081,0056,
0039,0056,0082,0058,
0036,0056,0082,0058,
0031,0056,0082,0058,
0026,0044,0081,0060,
0026,0039,0079,0060,
0026,0038,0076,0060,
0009,0029,0050,0041,
0009,0021,0036,0032,
0009,0018,0028,0029,
0004,0007,0014,0006,
0004,0007,0014,0006,
0004,0003,0012,0006,
-003,0003,0000,0000,
-003,0003,0000,0000,
-002,0002,0003,-001,
-002,0001,0003,-001,
-002,0001,0003,-001,
-002,0000,0001,-002,
-002,-004,0001,0000,
-002,-004,0001,0000,
