delta1,delta2,delta3,delta4
0008,0014,0024,0027,
0008,0014,0024,0027,
0007,0006,0014,0018,
0007,0006,0014,0018,
0007,0006,0014,0018,
0003,0006,0006,0015,
0003,0006,0006,0013,
0003,0006,0006,0013,
0004,0001,0007,0000,
0004,0001,0007,0000,
0004,0001,0007,0000,
0000,-001,0003,0000,
0000,-001,0003,0000,
0000,-001,0003,0000,
0000,-003,0002,0001,
0000,-003,0002,0001,
0000,-003,0002,0001,
0000,0002,-001,0007,
0000,0002,-001,0007,
0000,0002,-001,0007,
0000,0000,0000,0001,
0000,0000,0000,0001,
0000,0000,0000,0001,
0005,-002,0004,-002,
0005,-002,0004,-002,
0005,-002,0004,-002,
0002,0002,0000,0005,
0002,0002,0000,0005,
0002,0002,0000,0005,
-001,0002,-002,0004,
