delta1,delta2,delta3,delta4
0013,0018,0029,0031,
0013,0018,0029,0031,
0008,0016,0021,0028,
0008,0016,0021,0028,
0008,0016,0021,0028,
0008,0009,0015,0019,
0008,0009,0015,0019,
0008,0009,0015,0019,
0005,0000,0007,0009,
0005,0000,0007,0009,
0005,0000,0007,0009,
0000,0001,0005,0003,
0000,0001,0005,0003,
0000,0001,0005,0003,
0002,0001,0007,0003,
0002,0001,0007,0003,
0002,0001,0007,0003,
-003,-003,0002,0000,
-003,-003,0002,0000,
-003,-003,0002,0000,
0002,0000,-002,0005,
0002,0000,-002,0005,
0002,0000,-002,0005,
0000,0002,-002,0001,
0000,0002,-002,0001,
0000,0002,-002,0001,
0002,-002,0001,0002,
0002,-002,0001,0002,
0002,-002,0001,0002,
0002,0003,0005,0004,
