delta1,delta2,delta3,delta4
0017,0028,0036,0038,
0017,0028,0041,0038,
0023,0039,0057,0058,
0023,0039,0065,0058,
0023,0039,0065,0058,
0017,0034,0048,0053,
0017,0033,0045,0051,
0017,0033,0045,0051,
0009,0014,0025,0028,
0009,0014,0025,0028,
0009,0014,0025,0028,
0002,0005,0009,0015,
0002,0005,0009,0015,
0002,0005,0009,0015,
-004,0000,0005,0003,
-004,0000,0005,0003,
-004,0000,0005,0003,
0001,0000,0008,0002,
0001,0000,0008,0002,
0001,0000,0008,0002,
0000,0004,0000,0008,
0000,0004,0000,0008,
0000,0004,0000,0008,
0003,0002,0003,0006,
0003,0002,0003,0006,
0003,0002,0003,0006,
0002,-002,0006,0005,
0002,-002,0006,0005,
0002,-002,0006,0005,
0000,0001,-001,0001,
