delta1,delta2,delta3,delta4
0015,0021,0024,0029,
0016,0023,0024,0031,
0019,0033,0037,0034,
0019,0033,0037,0034,
0022,0033,0037,0034,
0021,0035,0051,0054,
0021,0035,0051,0054,
0021,0035,0051,0054,
0026,0039,0058,0061,
0026,0039,0058,0061,
0026,0039,0057,0056,
0025,0038,0047,0047,
0025,0038,0047,0047,
0019,0038,0047,0047,
0019,0030,0043,0047,
0019,0030,0043,0047,
0013,0024,0039,0043,
0012,0018,0028,0033,
0012,0017,0027,0033,
0009,0016,0024,0025,
0002,0010,0016,0019,
0002,0007,0013,0019,
0002,0007,0012,0010,
0004,0004,0006,0008,
0004,0004,0006,0008,
0004,0004,0006,0007,
0006,0006,0001,-006,
0006,0006,0001,-008,
0006,0004,0001,-008,
0006,0004,0002,-001,
