delta1,delta2,delta3,delta4
0013,0019,0032,0026,
0013,0019,0032,0026,
0013,0020,0035,0034,
0013,0020,0039,0034,
0013,0020,0039,0034,
0007,0014,0023,0024,
0007,0014,0023,0024,
0007,0014,0023,0024,
0007,0006,0016,0011,
0006,0005,0014,0010,
0006,0005,0014,0010,
0003,-001,0003,0003,
0003,-001,0003,0003,
0003,-001,0003,0003,
-002,0001,-002,0004,
-002,0001,-002,0004,
-002,0001,-002,0004,
-002,0000,0000,0003,
-002,0000,0000,0003,
-002,0000,0000,0003,
0000,0000,-001,-002,
0000,0000,-001,-002,
0000,0000,-001,-002,
0000,0001,0001,-002,
0000,0001,0001,-002,
0000,0001,0001,-002,
0001,0003,0004,0003,
0001,0003,0004,0003,
0001,0003,0004,0003,
0000,0003,0002,0002,
