delta1,delta2,delta3,delta4
0014,0029,0038,0026,
0016,0031,0038,0026,
0019,0033,0041,0034,
0019,0033,0041,0034,
0020,0034,0044,0034,
0022,0037,0051,0033,
0022,0037,0051,0033,
0022,0037,0053,0033,
0020,0043,0057,0042,
0020,0043,0057,0042,
0020,0043,0057,0042,
0021,0041,0064,0041,
0021,0041,0064,0041,
0021,0041,0064,0041,
0012,0019,0046,0034,
0012,0019,0046,0034,
0012,0019,0041,0034,
0005,0000,0009,0009,
0005,0000,0009,0009,
0003,0000,0009,0006,
-002,-007,-004,-007,
-002,-007,-004,-007,
-002,-007,-004,-007,
-002,-003,-006,-010,
-002,-003,-006,-010,
-003,-003,-006,-010,
0001,-003,-004,-006,
0001,-003,-004,-006,
0001,-003,-004,-006,
0002,-002,-003,-008,
