delta1,delta2,delta3,delta4
0008,0016,0019,0027,
0008,0016,0019,0027,
0011,0022,0023,0026,
0011,0022,0023,0026,
0011,0022,0023,0026,
0009,0018,0028,0033,
0009,0018,0028,0033,
0009,0014,0018,0020,
0008,0013,0015,0016,
0008,0013,0012,0012,
0005,0005,0008,0005,
0005,0005,0002,0003,
0005,0005,0002,0003,
0007,0006,0002,0003,
0004,0001,0002,-001,
0004,0001,0002,-001,
0002,0001,0002,-001,
0002,0004,-006,0004,
0002,0004,-006,0004,
0006,0004,-005,0004,
0002,-001,0001,0002,
0002,-001,0001,0002,
0002,-001,0001,0002,
0002,-001,0003,0002,
0002,0000,0003,0002,
0002,0000,0003,0002,
0002,0000,-002,0000,
0002,0000,-002,0000,
0002,0000,-002,0000,
0005,0004,0003,0001,
