delta1,delta2,delta3,delta4
0019,0031,0044,0044,
0021,0032,0046,0044,
0033,0050,0070,0066,
0033,0050,0070,0066,
0038,0050,0070,0071,
0032,0057,0082,0076,
0030,0057,0082,0076,
0020,0044,0080,0067,
0018,0043,0079,0062,
0018,0026,0048,0060,
0008,0009,0024,0023,
0003,0009,0020,0021,
0003,0001,0009,0005,
0000,0001,0009,0005,
-002,0001,0005,0005,
-002,-003,0005,0005,
-002,-003,0005,0005,
-003,-004,0001,0000,
-003,-003,0001,0000,
-003,-003,0001,0000,
0001,-001,0002,0005,
0001,-001,0002,0005,
0001,-001,0002,0007,
0002,-002,0005,0003,
0002,-002,0005,0003,
0002,-002,0007,0003,
0003,0002,0002,0002,
0003,0002,0002,0002,
0001,0001,0002,0002,
0001,0001,0004,0000,
