delta1,delta2,delta3,delta4
0007,0016,0022,0034,
0015,0029,0036,0045,
0015,0031,0037,0047,
0017,0040,0043,0054,
0030,0046,0062,0072,
0033,0049,0062,0073,
0034,0059,0075,0078,
0043,0071,0089,0096,
0043,0075,0094,0096,
0043,0076,0102,0102,
0049,0078,0118,0108,
0049,0078,0118,0108,
0049,0078,0118,0108,
0049,0075,0118,0105,
0037,0073,0110,0100,
0028,0066,0098,0097,
0028,0063,0096,0095,
0021,0053,0082,0085,
0011,0035,0068,0070,
0011,0035,0060,0069,
0011,0027,0045,0063,
0011,0023,0033,0051,
0011,0018,0022,0051,
0005,0018,0017,0036,
0001,0008,0011,0020,
-001,0006,0010,0019,
-006,0006,0006,0015,
-006,0006,0006,0014,
-003,0003,-002,0003,
-003,0003,-002,0003,
