delta1,delta2,delta3,delta4
0021,0024,0028,0032,
0021,0024,0033,0041,
0031,0041,0056,0054,
0033,0045,0066,0060,
0038,0046,0067,0062,
0035,0063,0093,0086,
0035,0063,0093,0086,
0026,0050,0093,0086,
0022,0045,0092,0075,
0017,0026,0040,0058,
0006,0007,0017,0019,
0004,0003,0013,0018,
0004,0003,0009,0008,
0004,0003,0005,0007,
0005,0002,-004,0000,
0005,0002,-004,0000,
0004,0001,-004,0000,
0004,0001,0001,-002,
0004,0001,0001,-002,
0002,0001,0001,-002,
0002,-001,0005,0002,
0002,-001,0005,0002,
0002,-001,0007,0006,
0007,0003,-002,0000,
0007,0003,-002,0000,
0004,0003,-002,0000,
0004,0002,-002,0000,
0004,0002,-002,0000,
0003,0002,-002,0000,
0003,0000,-001,-001,
