delta0,delta1,delta2,delta3,delta4
0074,0067,0110,0196,0204
0074,0067,0110,0196,0204
0077,0067,0110,0200,0204
0077,0067,0110,0200,0204
0077,0067,0110,0200,0204
0074,0070,0109,0203,0212
0074,0070,0109,0203,0212
0074,0070,0109,0203,0212
0081,0064,0110,0194,0203
0081,0064,0110,0194,0203
0081,0064,0110,0194,0203
0077,0067,0111,0190,0201
0077,0067,0111,0190,0201
0077,0067,0111,0190,0201
0076,0067,0107,0193,0197
0076,0067,0107,0193,0197
0076,0067,0107,0193,0197
0076,0070,0107,0191,0196
0076,0070,0107,0191,0196
0076,0070,0107,0191,0196
0072,0066,0107,0188,0196
0072,0066,0107,0188,0196
0072,0066,0107,0188,0196
0076,0068,0112,0190,0201
0076,0068,0112,0190,0201
0076,0068,0112,0190,0201
0078,0064,0106,0187,0194
0078,0064,0106,0187,0194
0078,0064,0106,0187,0194
0077,0067,0111,0187,0199
