delta0,delta1,delta2,delta3,delta4
0075,0066,0108,0188,0195
0074,0065,0106,0186,0195
0074,0065,0106,0186,0195
0074,0065,0106,0186,0195
0074,0068,0106,0191,0195
0074,0068,0106,0191,0195
0074,0068,0106,0191,0195
0075,0065,0109,0190,0192
0075,0065,0109,0190,0192
0075,0065,0109,0190,0192
0080,0068,0109,0189,0199
0080,0068,0109,0189,0199
0080,0068,0109,0189,0199
0073,0067,0106,0187,0190
0073,0067,0106,0187,0190
0073,0067,0106,0187,0190
0074,0066,0111,0188,0195
0074,0066,0111,0188,0195
0074,0066,0111,0188,0195
0073,0063,0108,0191,0196
0073,0063,0108,0191,0196
0073,0063,0108,0191,0196
0075,0064,0105,0188,0187
0075,0064,0105,0188,0187
0075,0064,0105,0188,0187
0075,0063,0107,0184,0188
0075,0063,0107,0184,0188
0075,0063,0107,0184,0188
0075,0063,0108,0186,0197
0075,0063,0108,0186,0197
