delta0,delta1,delta2,delta3,delta4
0084,0075,0120,0189,0183
0084,0075,0120,0189,0183
0084,0075,0120,0189,0183
0087,0074,0122,0189,0184
0087,0074,0122,0189,0184
0087,0074,0122,0189,0184
0088,0077,0123,0190,0186
0088,0077,0123,0190,0186
0088,0077,0123,0190,0186
0088,0076,0120,0189,0183
0088,0076,0120,0189,0183
0088,0076,0120,0189,0183
0087,0080,0118,0191,0184
0087,0080,0118,0191,0184
0087,0080,0118,0191,0184
0087,0078,0120,0189,0178
0087,0078,0120,0189,0178
0087,0078,0120,0189,0178
0084,0080,0117,0187,0179
0084,0080,0117,0187,0179
0084,0080,0117,0187,0179
0083,0076,0118,0184,0181
0083,0076,0118,0184,0181
0083,0076,0118,0184,0181
0084,0079,0117,0189,0179
0084,0079,0117,0189,0179
0084,0079,0117,0189,0179
0087,0073,0120,0185,0180
0087,0073,0120,0185,0180
0087,0073,0120,0185,0180
