delta0,delta1,delta2,delta3,delta4
0199,0223,0221,0318,0276
0199,0223,0221,0318,0276
0193,0225,0224,0318,0270
0193,0225,0224,0318,0270
0193,0225,0224,0318,0270
0194,0224,0220,0320,0276
0194,0224,0220,0320,0276
0194,0224,0220,0320,0276
0195,0231,0226,0326,0280
0195,0231,0226,0326,0280
0195,0231,0226,0326,0280
0194,0227,0221,0324,0275
0194,0227,0221,0324,0275
0194,0227,0221,0324,0275
0195,0224,0220,0322,0270
0195,0224,0220,0322,0270
0195,0224,0220,0322,0270
0191,0226,0219,0318,0272
0191,0226,0219,0318,0272
0191,0226,0219,0318,0272
0192,0227,0222,0314,0266
0192,0227,0222,0314,0266
0192,0227,0222,0314,0266
0193,0224,0218,0314,0266
0193,0224,0218,0314,0266
0193,0224,0218,0314,0266
0193,0228,0221,0316,0271
0193,0228,0223,0316,0272
0193,0228,0223,0316,0272
0196,0228,0221,0320,0274
