delta1,delta2,delta3,delta4
00000,00016,00002,00037
00000,00016,00002,00047
00000,00016,00002,00067
00000,00016,00002,00091
00004,00036,00001,00138
00004,00037,00001,00138
00004,00045,00001,00138
00004,00043,00001,00138
00004,00043,00001,00138
00004,00031,00001,00138
00004,00031,00003,00064
00002,00027,00004,00041
00001,00016,00002,00025
00001,00017,00001,00016
00000,00009,00001,00008
00000,00008,00001,00008
00000,00005,00001,00003
00000,00004,00001,00002
00000,00004,00001,00001
00000,00001,00001,00001
-0001,00001,00001,-0002
-0001,00004,00000,-0003
00002,00003,00002,00001
00001,00003,00003,00003
00001,00003,00001,-0004
00001,00001,00002,00001
00001,00002,00001,00001
00000,00006,00001,00001
00002,00008,00000,00000
00001,00006,00000,-0001
00000,00004,00002,00002
00000,00002,00000,-0001
00003,00004,00004,00004
00000,00002,00001,00001
00002,00006,00002,00002
00000,00000,00001,00001
00000,00004,00002,00000
-0001,00005,00003,00003
00000,00003,00002,00002
00001,00005,00000,-0001
