delta1,delta2,delta3,delta4
00000,00017,00003,00051
00000,00017,00003,00065
00000,00017,00003,00074
00007,00022,00002,00094
00007,00035,00002,00094
00007,00028,00002,00094
00007,00030,00002,00094
00007,00027,00002,00094
00007,00030,00002,00094
00004,00028,00001,00119
00003,00033,00004,00118
00004,00024,00004,00108
00002,00029,00005,00084
00002,00024,00004,00061
00002,00022,00004,00039
00002,00017,00000,00027
00002,00017,00001,00017
00004,00011,00001,00007
00004,00010,00001,00009
00004,00010,00001,00007
00004,00006,00001,00003
00004,00006,00001,00002
00004,00005,00001,00001
00003,00008,00000,00001
00000,00004,00002,00001
00000,00004,00003,00003
00001,00005,00000,-0002
00002,00007,-0002,-0001
00004,-0003,00000,-0001
00001,00003,00001,00001
-0001,00004,00002,-0002
00000,00004,00001,00001
00001,00005,00001,-0001
00003,00001,00002,00001
00001,00000,00001,-0001
00000,00002,00002,00002
00000,00003,00001,-0001
00000,00003,00001,-0002
00000,00004,00001,00000
00005,00000,00001,-0001
