delta1,delta2,delta3,delta4
00004,00018,00000,00043
00004,00018,00000,00058
00002,00026,00003,00071
00002,00027,00003,00071
00002,00027,00003,00071
00002,00028,00003,00071
00002,00025,00003,00071
00002,00034,00003,00071
00003,00030,00003,00071
00003,00025,00002,00063
00005,00025,00001,00052
00003,00023,00001,00042
00000,00019,00001,00032
00006,00011,00001,00017
00006,00012,00001,00017
00006,00010,00001,00017
00006,00007,00001,00017
00006,00008,00001,00017
00006,00002,00001,00017
00000,00009,-0001,00000
00000,00009,-0001,00004
00000,00009,-0001,00002
00000,00009,-0001,-0006
-0001,00003,00000,-0004
00004,00005,00000,-0003
00000,00003,00000,00001
00002,-0001,00001,-0001
00003,-0001,00002,00000
00004,00007,00001,-0002
00000,00005,00002,00001
00001,00006,00002,-0002
00002,00006,00001,-0001
00000,00005,00003,-0001
00002,00005,00000,00000
00002,00005,00000,-0001
00001,00004,00001,00001
00004,-0001,00001,00000
00001,00004,00002,00003
00000,-0001,00003,-0001
00001,00004,00001,00001
