delta0,delta1,delta2,delta3,delta4
0005,0006,0033,0032,0019
0005,0006,0037,0034,0023
0015,0012,0050,0046,0024
0015,0012,0050,0046,0024
0016,0013,0054,0048,0025
0014,0013,0079,0064,0027
0014,0013,0079,0064,0027
0014,0014,0085,0068,0028
0018,0014,0122,0081,0032
0018,0017,0122,0081,0032
0018,0017,0125,0083,0034
0018,0017,0113,0079,0034
0018,0017,0113,0079,0034
0016,0012,0090,0068,0024
0015,0008,0080,0054,0024
0015,0008,0065,0054,0024
-011,-018,0052,0037,0024
-011,-018,0037,0032,0022
-011,-018,0037,0032,0022
-011,-018,0032,0023,0014
0010,0004,0027,0016,0010
0010,0004,0027,0016,0010
0010,0002,0016,0013,0009
0005,0001,0011,0003,0003
0005,0001,0011,0003,0003
0005,0001,0011,0003,0003
0003,0000,0004,0002,0007
0003,0000,0004,0002,0007
0003,0000,0004,0002,0006
0004,0000,0008,-002,0002
