delta0,delta1,delta2,delta3,delta4
0010,0011,0051,0041,0026
0010,0011,0051,0041,0026
0010,0012,0057,0048,0026
0011,0015,0074,0048,0027
0011,0015,0074,0048,0027
0011,0016,0075,0059,0027
0012,0016,0080,0059,0030
0012,0016,0080,0059,0030
0012,0013,0075,0054,0029
0011,0013,0066,0049,0024
0011,0013,0061,0049,0024
0011,0012,0049,0039,0024
0006,0008,0037,0035,0024
0006,0008,0037,0035,0024
0006,0008,0027,0022,0020
-001,0005,0019,0019,0014
-001,0005,0019,0019,0014
-001,0005,0014,0014,0009
0000,0003,0010,0010,0009
0000,0003,0010,0010,0009
0000,0000,0008,0006,0008
0001,0000,0005,0003,0008
0001,0000,0005,0003,0008
0001,0004,0005,0002,0008
-002,0001,0001,0002,0005
-002,0001,0001,0002,0005
-002,0001,0001,0001,0005
-003,0002,0002,0000,0005
-003,0002,0002,0000,0005
-003,0000,0004,0000,0004
