delta0,delta1,delta2,delta3,delta4
0014,0009,0045,0038,0022
0012,0011,0045,0038,0022
0012,0011,0052,0038,0022
0012,0011,0063,0048,0024
0013,0011,0065,0048,0024
0013,0011,0066,0048,0024
0017,0015,0066,0049,0026
0017,0015,0062,0049,0026
0015,0014,0062,0049,0026
0013,0012,0059,0046,0025
0015,0011,0052,0043,0025
0015,0011,0043,0035,0025
0015,0009,0041,0030,0021
0008,0007,0021,0023,0016
0008,0007,0018,0017,0016
0006,0004,0015,0016,0010
0005,0004,0012,0010,0009
0005,0004,0012,0007,0009
0003,0003,0005,0005,0006
0003,0003,0005,0002,0002
0003,0003,0005,0002,0002
0003,-002,0006,0003,0004
0003,0001,0006,0003,0004
0003,0001,0006,0003,0004
0005,0002,0004,-001,0001
0005,0002,0001,-002,0001
0004,0003,0001,-002,0001
0001,0000,0001,-001,-001
0001,0000,0001,0000,0001
0001,0000,0001,0000,0001
