delta0,delta1,delta2,delta3,delta4
0009,0008,0034,0030,0024
0009,0008,0034,0033,0024
0009,0010,0051,0036,0024
0009,0010,0051,0036,0024
0009,0010,0051,0043,0024
0009,0013,0066,0043,0027
0009,0013,0066,0043,0027
0009,0011,0067,0050,0027
0013,0011,0083,0051,0028
0013,0011,0083,0051,0028
0011,0012,0083,0051,0028
0008,0012,0084,0052,0025
0008,0012,0084,0052,0025
0008,0013,0078,0051,0025
0009,0013,0067,0051,0026
0009,0013,0067,0051,0026
0009,0015,0064,0041,0026
0010,0008,0050,0035,0024
0010,0008,0050,0035,0024
0010,0008,0033,0029,0020
0010,0011,0023,0022,0020
0010,0011,0023,0022,0020
0006,0006,0016,0014,0012
0002,0003,0008,0009,0009
0002,0003,0008,0009,0009
0002,0002,0008,0005,0006
-003,0002,0005,0003,0005
-003,0002,0005,0003,0005
-003,0003,0005,0003,0003
-003,0002,0001,0001,0003
