delta0,delta1,delta2,delta3,delta4
0011,0010,0030,0031,0024
0011,0010,0030,0031,0024
0015,0011,0047,0039,0028
0015,0011,0047,0039,0028
0015,0011,0047,0039,0028
0011,0014,0077,0048,0030
0011,0014,0077,0048,0030
0011,0014,0079,0048,0030
0012,0011,0073,0050,0027
0012,0011,0073,0050,0027
0012,0011,0063,0050,0027
0012,0010,0040,0039,0026
0012,0010,0040,0039,0026
0012,0010,0037,0038,0026
0014,0008,0018,0023,0022
0014,0008,0018,0023,0022
0014,0008,0018,0023,0022
0006,0004,0013,0008,0010
0006,0004,0013,0008,0010
0006,0004,0013,0008,0010
0001,0000,0002,0005,0006
0001,0000,0002,0005,0006
0001,0000,0002,0005,0006
0003,0000,0002,0005,0008
0003,0000,0002,0005,0008
0003,0000,0002,0005,0008
-001,0001,0001,0001,0001
-001,0001,0001,0001,0001
-001,0001,0001,0001,0001
0001,0006,0002,-002,0000
