delta0,delta1,delta2,delta3,delta4
0006,0009,0032,0026,0020
0006,0009,0032,0029,0020
0012,0007,0039,0036,0023
0012,0007,0039,0036,0023
0012,0007,0041,0037,0023
0014,0012,0065,0054,0025
0014,0012,0065,0054,0025
0014,0016,0069,0054,0025
0013,0013,0093,0070,0030
0013,0013,0093,0070,0030
0013,0013,0077,0059,0029
0011,0010,0069,0057,0026
0011,0010,0064,0057,0026
0011,0010,0038,0032,0026
0006,0004,0031,0031,0021
0006,0004,0031,0031,0021
0006,0003,0021,0021,0016
0002,0003,0013,0018,0010
0002,0003,0013,0018,0010
0002,0002,0013,0013,0009
0000,0002,0006,0012,0009
0000,0002,0006,0012,0009
0000,-001,0006,0009,0008
0000,-001,0001,0001,0007
0000,-001,0001,0001,0007
0000,0000,0001,0001,0006
-001,0001,0003,0002,0006
-001,0001,0003,0002,0006
-001,0001,0003,0002,0003
-004,0001,-001,0002,0002
