delta0,delta1,delta2,delta3,delta4
0013,0017,0031,0029,0027
0013,0017,0031,0029,0027
0013,0019,0035,0037,0032
0014,0019,0035,0039,0032
0014,0019,0042,0039,0032
0016,0018,0042,0040,0032
0016,0018,0053,0044,0033
0016,0018,0067,0047,0033
0016,0021,0067,0052,0034
0016,0021,0096,0065,0034
0016,0021,0115,0067,0034
0012,0012,0117,0072,0038
0012,0012,0119,0081,0038
0012,0012,0119,0081,0038
0012,0012,0113,0069,0033
0016,0020,0107,0061,0033
0016,0020,0084,0061,0033
0016,0021,0056,0043,0029
0016,0021,0055,0043,0029
0016,0021,0041,0040,0029
0016,0021,0039,0031,0030
0016,0021,0037,0029,0028
0011,0014,0035,0029,0028
0011,0007,0026,0021,0016
0010,0007,0026,0018,0016
0009,0007,0026,0017,0016
0007,0008,0017,0009,0015
0009,0008,0017,0009,0014
0007,0008,0017,0009,0014
0007,0008,0013,0008,0012
