delta0,delta1,delta2,delta3,delta4
0008,0009,0037,0037,0025
0008,0009,0042,0037,0025
0008,0013,0061,0052,0025
0008,0013,0067,0052,0025
0008,0013,0075,0052,0025
0009,0013,0100,0068,0027
0009,0013,0108,0068,0027
0009,0013,0111,0068,0027
0009,0013,0112,0079,0028
0009,0013,0112,0079,0028
0009,0013,0112,0066,0028
0010,0010,0111,0064,0025
0010,0010,0088,0064,0025
0010,0010,0066,0041,0025
0022,0012,0062,0039,0025
0022,0012,0052,0039,0025
0022,0012,0047,0034,0025
0022,0012,0037,0033,0019
0008,0005,0035,0033,0019
0008,0005,0029,0021,0016
0003,0006,0020,0015,0011
0003,0006,0020,0015,0011
0003,0005,0020,0011,0011
0000,0002,0016,0008,0010
0000,0002,0016,0008,0010
0000,0002,0015,0006,0010
-002,0001,0004,0003,0004
-002,0001,0004,0003,0004
-002,0001,0004,0003,0004
-003,0002,0002,0002,0006
