time,delta0,delta1,delta2,delta3,delta4
0,0018,0013,0030,0037,0039,
1,0033,0021,0047,0068,0046,
2,0040,0037,0056,0084,0071,
3,0062,0055,0082,0113,0094,
4,0066,0071,0082,0113,0094,
5,0066,0071,0073,0110,0096,
6,0066,0071,0073,0110,0096,
7,0066,0071,0073,0110,0096,
8,0023,0018,0047,0065,0050,
9,0023,0018,0047,0065,0050,
10,0023,0018,0047,0065,0050,
11,0023,0018,0028,0034,0028,
12,0023,0018,0028,0034,0028,
13,0017,0017,0028,0034,0028,
14,0004,-002,0010,0006,0004,
15,0004,-002,0010,0006,0004,
16,0004,-002,0010,0006,0004,
17,0002,0000,-001,0003,0002,
18,0002,0000,-001,0003,0002,
19,0002,0000,-001,0003,0002,
20,0001,0002,0000,0001,-006,
21,0001,0002,0000,0001,-006,
22,0001,0002,0000,0001,-006,
23,-001,0001,0002,0004,-008,
24,-001,0001,0002,0004,-008,
25,-001,0001,0002,0004,-008,
26,0001,0004,-003,0001,-006,
27,0001,0004,-003,0001,-006,
28,0001,0004,-003,0001,-006,
29,0002,0003,-003,0001,-006,
