time,delta0,delta1,delta2,delta3,delta4
0,0019,0016,0040,0047,0028,
1,0027,0029,0046,0059,0054,
2,0030,0031,0052,0077,0058,
3,0030,0031,0052,0077,0058,
4,0017,0018,0034,0043,0035,
5,0016,0018,0032,0042,0035,
6,0016,0018,0031,0040,0035,
7,0003,0004,0009,0011,0007,
8,0003,0004,0009,0011,0007,
9,0003,0004,0009,0011,0007,
10,0000,0002,0004,0005,0003,
11,0000,0002,0004,0005,0003,
12,0000,0002,0004,0005,0003,
13,0002,0000,0007,0002,0001,
14,0002,0000,0007,0002,0001,
15,0002,0000,0007,0002,0001,
16,-002,0000,0000,0003,-001,
17,-002,0000,0000,0003,-001,
18,-002,0000,0000,0003,-001,
19,0000,0005,0001,0005,0000,
20,0000,0005,0001,0005,0000,
21,0000,0005,0001,0005,0000,
22,0000,-001,0006,0000,0001,
23,0000,-001,0006,0000,0001,
24,0000,-001,0006,0000,0001,
25,0001,0000,0004,0002,0002,
26,0001,0000,0004,0002,0002,
27,0001,0000,0004,0002,0002,
28,0001,0002,0002,0005,-001,
29,0001,0002,0002,0005,-001,
