time,delta0,delta1,delta2,delta3,delta4
0,0009,0006,0019,0025,0026,
1,0009,0010,0022,0026,0034,
2,0026,0018,0033,0051,0049,
3,0048,0026,0059,0083,0076,
4,0049,0041,0066,0097,0080,
5,0064,0064,0092,0125,0116,
6,0064,0066,0092,0125,0116,
7,0064,0066,0070,0099,0095,
8,0064,0066,0068,0099,0080,
9,0039,0040,0058,0094,0080,
10,0009,0013,0032,0061,0042,
11,0009,0012,0022,0036,0033,
12,0005,0005,0016,0017,0026,
13,0004,-001,0004,0002,0009,
14,-002,-005,0004,0002,0009,
15,-002,-005,0004,0002,0009,
16,-002,-005,-001,-002,0003,
17,-002,-004,-001,-002,0003,
18,-002,-004,-001,-002,0003,
19,-003,-004,-004,-004,0003,
20,-003,-003,-004,-004,0003,
21,-003,-003,-004,-004,0003,
22,-004,-004,0001,-001,0001,
23,-004,-004,0000,-002,0001,
24,-004,-004,0000,-002,0001,
25,0000,-005,-005,-003,0006,
26,-004,-005,-005,-003,0005,
27,-004,-005,-005,-003,0005,
28,-004,-002,-005,-007,-001,
29,-004,-003,-005,-007,-001,
