time,delta0,delta1,delta2,delta3,delta4
0,0021,0020,0039,0048,0042,
1,0050,0035,0063,0095,0066,
2,0052,0041,0070,0098,0090,
3,0057,0058,0079,0115,0098,
4,0057,0062,0079,0115,0098,
5,0057,0062,0055,0085,0066,
6,0057,0062,0055,0085,0066,
7,0031,0037,0055,0085,0066,
8,0016,0012,0027,0036,0030,
9,0016,0012,0026,0036,0030,
10,0016,0012,0026,0036,0030,
11,0002,0007,0006,0006,0001,
12,0002,0007,0006,0006,0001,
13,0002,0007,0006,0006,0001,
14,0002,-003,-002,0005,-004,
15,0002,-003,-002,0005,-004,
16,0002,-003,-002,0005,-004,
17,0002,0001,0004,0003,-006,
18,0003,0001,0004,0003,-006,
19,0003,0001,0004,0003,-006,
20,0001,0004,-002,0002,-007,
21,0001,0004,-002,0002,-007,
22,0001,0004,-002,0002,-007,
23,0002,0001,-003,0002,0000,
24,0002,0001,-003,0002,0000,
25,0002,0001,-003,0002,0000,
26,-001,-002,0003,0004,-004,
27,-001,-002,0003,0004,-004,
28,-001,-002,0003,0004,-004,
29,0002,-003,0003,0003,-006,
