time,delta0,delta1,delta2,delta3,delta4
0,0028,0019,0039,0048,0047,
1,0029,0022,0045,0062,0049,
2,0054,0048,0072,0103,0090,
3,0055,0052,0072,0103,0090,
4,0055,0052,0077,0113,0093,
5,0055,0052,0073,0104,0092,
6,0055,0052,0073,0104,0092,
7,0031,0026,0059,0085,0057,
8,0028,0025,0055,0076,0055,
9,0011,0008,0031,0044,0034,
10,-003,-006,0021,0023,0018,
11,-003,-006,0015,0012,0004,
12,-003,-006,0015,0012,0004,
13,-003,-006,0011,0004,0004,
14,-003,-004,-003,0000,-001,
15,-004,-004,-004,0000,-001,
16,-004,-004,-004,0000,-001,
17,-001,-006,-005,-006,-002,
18,-001,-006,-005,-006,-002,
19,-001,-006,-005,-006,-002,
20,0000,-001,-009,-007,-005,
21,0000,-001,-009,-007,-005,
22,0000,0000,-009,-007,-005,
23,-004,-003,-001,-006,-007,
24,-004,-003,-001,-006,-007,
25,-004,-003,-001,-006,-007,
26,-006,-007,-003,-005,-008,
27,-006,-007,-003,-005,-008,
28,-006,-007,-003,-005,-008,
29,-001,-001,-007,-008,-005,
