time,delta0,delta1,delta2,delta3,delta4
0,0008,0003,0017,0023,0030,
1,0012,0003,0022,0025,0031,
2,0020,0016,0027,0042,0047,
3,0028,0019,0037,0055,0057,
4,0039,0020,0045,0071,0063,
5,0054,0041,0066,0103,0101,
6,0058,0057,0080,0113,0110,
7,0058,0057,0084,0115,0116,
8,0058,0057,0086,0124,0122,
9,0058,0057,0086,0124,0122,
10,0058,0057,0081,0115,0110,
11,0053,0045,0076,0114,0101,
12,0035,0027,0067,0096,0087,
13,0015,0011,0042,0069,0048,
14,0015,0008,0030,0038,0036,
15,0015,0008,0024,0024,0028,
16,0015,0008,0014,0021,0021,
17,0015,0008,0013,0011,0009,
18,0001,-003,0007,0006,0009,
19,0001,-003,0002,0006,0009,
20,0002,-004,0002,0005,0007,
21,0002,-004,0002,0005,0007,
22,0002,-004,0004,0003,0007,
23,0001,-003,0004,0003,0005,
24,0001,-003,0004,0003,0005,
25,0001,-003,0003,0003,0005,
26,0001,-003,0003,0002,0007,
27,0001,-003,0003,0002,0007,
28,0000,-003,0005,0002,0007,
29,0000,-003,0005,0001,0005,
