time,delta0,delta1,delta2,delta3,delta4
0,0017,0009,0023,0032,0037,
1,0025,0016,0033,0043,0053,
2,0035,0018,0044,0063,0054,
3,0062,0049,0075,0110,0106,
4,0072,0071,0088,0130,0113,
5,0072,0071,0089,0131,0123,
6,0072,0071,0088,0130,0122,
7,0072,0071,0087,0128,0122,
8,0038,0027,0065,0097,0069,
9,0028,0023,0058,0081,0061,
10,0020,0014,0036,0048,0046,
11,0005,0000,0022,0018,0015,
12,0005,0000,0018,0016,0015,
13,0005,0000,0017,0013,0015,
14,0005,0000,0016,0005,0003,
15,0003,0000,0010,0005,0003,
16,0000,-003,0010,0005,0003,
17,0001,0000,-002,-001,0000,
18,0001,-001,-002,-001,0000,
19,0001,-001,-002,-001,0000,
20,-001,-001,0002,0002,-001,
21,-001,-001,0000,0002,-001,
22,-001,-001,0000,0002,-001,
23,0000,-001,0000,0002,0000,
24,0000,0001,0005,-002,0000,
25,0000,0001,0005,-002,0000,
26,0000,0001,-003,-002,0002,
27,0000,0001,-003,-001,0002,
28,0000,0001,-003,-001,0002,
29,0000,-003,0004,-001,0005,
