time,delta0,delta1,delta2,delta3,delta4
0,0027,0018,0043,0055,0050,
1,0037,0036,0067,0096,0068,
2,0040,0040,0069,0104,0075,
3,0040,0040,0069,0104,0075,
4,0040,0040,0069,0104,0075,
5,0040,0040,0054,0087,0060,
6,0040,0040,0054,0087,0060,
7,0029,0030,0054,0087,0060,
8,0005,0002,0017,0028,0012,
9,0005,0002,0017,0026,0012,
10,0003,0001,0014,0017,0005,
11,0002,-001,-005,0000,-010,
12,0002,-001,-005,0000,-010,
13,0002,-001,-005,0000,-010,
14,-002,-002,-003,-002,-010,
15,-002,-002,-003,-002,-010,
16,-002,-002,-003,-002,-010,
17,-003,-004,-005,-004,-010,
18,-003,-004,-005,-004,-010,
19,-003,-004,-005,-004,-010,
20,-001,-004,-004,-002,-010,
21,-001,-004,-004,-002,-010,
22,-001,-004,-004,-002,-010,
23,-003,-002,-002,0000,-010,
24,-003,-002,-002,0000,-010,
25,-003,-002,-002,0000,-010,
26,-006,-005,-008,-006,-012,
27,-006,-005,-008,-006,-012,
28,-006,-005,-008,-006,-012,
29,0002,-001,-010,-006,-012,
