time,delta0,delta1,delta2,delta3,delta4
0,0025,0019,0035,0042,0046,
1,0030,0026,0054,0064,0057,
2,0044,0035,0059,0082,0079,
3,0046,0041,0068,0089,0079,
4,0046,0041,0068,0089,0079,
5,0023,0020,0053,0065,0056,
6,0023,0020,0048,0062,0056,
7,0023,0020,0047,0059,0056,
8,0011,0009,0011,0014,0014,
9,0011,0009,0011,0014,0014,
10,0011,0009,0011,0013,0014,
11,0004,-001,0006,0005,0005,
12,0004,-001,0006,0005,0005,
13,0004,-001,0006,0005,0005,
14,0004,-001,0000,0001,0006,
15,0004,-001,0000,0001,0006,
16,0004,-001,0000,0001,0006,
17,0001,-001,0001,-001,0003,
18,0001,-001,0001,-001,0003,
19,0001,-001,0001,-001,0003,
20,0008,0000,0000,0000,0002,
21,0008,0000,0000,0000,0002,
22,0008,0000,0000,0000,0002,
23,0005,0002,0001,0001,-001,
24,0005,0002,0001,0001,-001,
25,0005,0002,0001,0001,-001,
26,0003,-001,-002,0000,0002,
27,0003,-001,-002,0000,0002,
28,0003,-001,-002,0000,0002,
29,0002,-002,0000,-002,0004,
