time,delta0,delta1,delta2,delta3,delta4
0,0009,0008,0021,0024,0033,
1,0012,0008,0022,0024,0035,
2,0032,0017,0038,0051,0059,
3,0035,0019,0043,0067,0059,
4,0036,0020,0046,0073,0070,
5,0050,0038,0063,0095,0092,
6,0050,0038,0063,0095,0092,
7,0033,0034,0056,0088,0074,
8,0031,0026,0055,0082,0062,
9,0015,0016,0040,0061,0059,
10,0005,0008,0015,0026,0027,
11,0003,-001,0013,0023,0018,
12,0003,-001,0011,0010,0018,
13,0003,-001,0004,0005,0011,
14,0002,-004,0004,0004,0007,
15,0002,-004,0004,0004,0007,
16,-003,-004,-004,-002,0000,
17,-003,-002,-004,-002,0000,
18,-003,-002,-004,-002,0000,
19,-005,-001,0001,0000,-001,
20,-005,-002,0000,-001,-001,
21,-005,-002,0000,-001,-001,
22,-002,-004,0000,-004,0001,
23,-001,-006,-002,-004,0001,
24,-001,-006,-002,-004,0001,
25,-001,-006,-003,-001,0004,
26,0000,-006,-003,-001,0004,
27,0000,-006,-003,-001,0004,
28,0000,-007,-008,-004,0002,
29,-003,-007,-008,-004,0002,
