time,delta0,delta1,delta2,delta3,delta4
0,0009,0007,0019,0027,0034,
1,0012,0007,0019,0029,0034,
2,0035,0019,0045,0064,0066,
3,0052,0037,0061,0099,0091,
4,0056,0046,0080,0113,0099,
5,0071,0068,0092,0131,0125,
6,0071,0068,0092,0131,0125,
7,0071,0068,0086,0125,0122,
8,0071,0068,0084,0117,0110,
9,0050,0039,0077,0109,0100,
10,0025,0017,0048,0072,0055,
11,0021,0013,0041,0056,0051,
12,0021,0013,0033,0041,0036,
13,0021,0013,0023,0026,0028,
14,0021,0013,0017,0017,0017,
15,0005,0000,0011,0011,0016,
16,0005,0000,0008,0009,0013,
17,-002,-002,0006,-002,0005,
18,-002,-002,0006,-003,0005,
19,-002,-002,0004,-003,0005,
20,0002,-006,0003,0003,0007,
21,0002,-006,0003,0003,0007,
22,0002,-006,0003,0003,0007,
23,-001,-002,-001,0000,0012,
24,-001,-002,-001,0000,0012,
25,-001,-002,-001,0000,0010,
26,-003,-001,0001,-002,0004,
27,-003,-001,0001,-002,0004,
28,-003,-001,0001,-002,0004,
29,0000,-003,0005,-003,0008,
