delta0,delta1,delta2,delta3,delta4
19,19,30,23,27
19,18,32,24,27
19,18,32,24,27
19,18,31,24,28
20,21,31,22,28
20,21,31,22,28
20,21,31,22,28
20,22,34,23,29
20,22,34,23,29
21,22,34,23,29
22,21,31,25,30
22,21,31,25,30
20,21,31,25,30
20,22,31,31,32
20,22,31,31,32
22,22,32,31,32
22,23,31,33,31
22,23,33,33,31
23,23,34,36,31
27,23,45,37,41
27,23,45,37,41
30,23,45,37,41
27,33,49,43,44
27,33,49,43,44
27,35,49,43,44
31,41,55,53,49
31,41,57,53,49
31,43,60,60,53
35,40,73,71,62
35,40,80,72,62
40,40,89,76,67
40,44,100,90,70
42,44,100,91,70
42,44,100,99,70
40,44,98,113,70
40,44,97,115,70
40,44,97,117,70
40,44,86,132,76
40,44,86,134,76
39,42,84,136,76
35,38,78,167,89
35,38,69,184,101
35,38,57,184,129
38,35,56,160,186
38,35,56,114,186
33,35,50,79,123
29,35,45,77,96
29,35,45,55,63
22,14,37,41,45
22,14,37,40,42
22,14,37,40,42
22,14,34,37,42
22,20,33,31,32
22,20,33,31,32
22,20,33,31,32
19,21,30,28,28
19,21,30,28,28
19,20,30,26,26
21,20,30,24,26
21,20,30,24,26
19,21,30,24,28
19,16,31,23,27
19,16,31,23,27
18,16,31,23,27
18,21,28,23,27
18,21,28,23,27
18,19,28,23,27
