time,delta0,delta1,delta2,delta3,delta4
118,-2,-9,-2,-8,-17
119,-2,-9,-2,-8,-17
120,-2,-9,-2,-8,-17
121,-6,-9,-5,-9,-16
122,-6,-9,-5,-9,-16
123,-6,-9,-5,-8,-16
124,-6,-11,-5,-2,-13
125,-6,-11,-5,-2,-13
126,-6,-12,-5,-2,-13
127,-4,-11,-2,1,-6
128,-4,-11,-2,1,-6
129,-4,-11,-2,1,-6
130,-4,-11,0,5,-1
131,-4,-11,0,5,-1
132,-4,-11,0,5,-1
133,-1,-6,4,13,10
134,-1,-6,4,13,10
135,-1,-6,4,13,10
136,5,-3,9,15,18
137,5,-3,9,15,18
138,5,-3,9,19,23
139,7,2,16,31,38
140,7,2,16,31,38
141,7,2,16,40,44
142,5,-3,19,59,60
143,5,-3,19,59,60
144,5,0,19,59,60
145,4,1,18,71,66
146,4,1,18,71,66
147,4,1,18,79,66
148,6,2,22,95,70
149,6,2,22,95,70
150,6,2,22,100,70
151,1,0,18,100,52
152,1,0,18,100,52
153,29,18,21,112,46
154,29,18,21,112,46
155,29,18,21,112,46
156,29,18,30,118,28
157,9,-4,30,118,28
158,9,-4,30,118,28
159,6,-6,42,112,13
160,6,-5,49,112,13
161,6,-5,49,112,13
162,4,-4,70,102,7
163,4,-3,70,92,7
164,4,-3,70,92,7
165,11,5,95,78,11
166,11,5,95,73,11
167,0,-1,95,73,11
168,0,-1,96,60,9
169,0,-1,122,85,43
170,0,-1,98,74,43
171,32,25,98,74,43
172,32,25,90,74,43
173,32,25,74,59,48
174,32,25,70,59,48
175,32,25,49,55,46
176,22,17,32,28,21
177,22,17,31,28,21
178,22,17,31,28,21
179,11,6,22,14,11
180,11,6,22,14,11
181,11,6,22,14,11
182,12,7,12,13,6
183,12,7,12,13,6
184,12,7,12,13,6
185,6,2,13,8,2
186,6,2,13,8,2
187,6,2,13,8,2
