time,delta0,delta1,delta2,delta3,delta4
88,2,4,2,8,6
89,7,4,8,9,1
90,7,4,8,9,1
91,7,4,8,9,1
92,5,3,6,8,2
93,5,3,6,8,2
94,5,3,6,8,2
95,8,10,18,10,4
96,8,10,18,10,4
97,8,10,18,10,4
98,6,7,17,20,12
99,6,7,17,20,12
100,6,7,17,20,12
101,8,12,22,24,11
102,8,12,22,24,11
103,8,12,22,24,11
104,17,22,36,37,25
105,17,22,37,37,25
106,17,22,37,37,25
107,22,20,70,69,36
108,22,20,70,69,36
109,22,20,77,70,36
110,18,18,66,100,34
111,18,18,49,100,34
112,18,18,49,100,34
113,31,33,38,93,45
114,31,33,33,93,45
115,24,33,33,82,45
116,16,12,21,73,46
117,16,12,21,40,46
118,16,12,21,35,42
119,10,12,17,16,15
120,10,12,17,13,12
121,10,12,17,13,12
122,6,2,7,8,0
