delta0,delta1,delta2,delta3,delta4
-1,0,1,2,0
-1,0,1,2,0
2,1,3,2,7
2,1,5,2,3
2,1,5,2,3
2,1,4,3,3
2,1,4,3,4
2,1,4,3,4
3,3,6,5,9
3,3,6,5,9
3,3,6,5,9
4,6,9,11,10
4,8,9,14,11
4,8,9,14,11
7,7,17,16,14
9,7,17,16,20
9,7,17,16,20
10,16,22,24,22
17,21,27,28,27
17,21,27,28,27
16,26,32,35,30
16,26,36,41,31
16,26,36,41,31
22,33,40,50,35
22,34,46,53,35
22,34,46,53,35
24,30,52,54,41
24,30,55,54,41
24,30,55,54,41
23,33,60,59,41
23,30,67,66,41
23,30,67,66,41
22,26,73,67,45
22,26,79,69,47
22,26,79,69,47
23,25,80,80,47
23,25,83,88,47
23,25,83,88,47
21,22,83,98,47
19,22,82,110,52
19,23,82,110,52
19,23,69,121,56
19,23,69,128,57
19,23,69,128,57
19,18,67,133,53
19,18,66,143,53
19,18,66,143,53
19,14,55,150,63
20,14,49,150,68
20,14,49,150,68
18,14,42,141,80
18,14,39,134,91
21,21,42,134,103
22,21,39,131,122
22,17,39,109,124
22,17,39,100,132
22,17,38,96,132
27,19,37,71,125
27,19,37,71,107
27,19,35,66,106
27,19,34,53,75
27,19,34,49,69
22,19,30,48,65
10,7,17,20,25
10,7,17,20,23
8,7,16,20,22
5,-1,12,9,6
5,-1,12,9,6
5,-1,12,5,6
3,3,6,1,3
3,3,6,1,3
3,3,6,1,3
1,0,6,3,2
1,0,6,3,2
1,0,5,3,2
6,1,1,5,4
6,1,1,5,4
