delta0,delta1,delta2,delta3,delta4
4,3,10,6,5
2,3,6,6,5
2,3,4,6,5
2,5,4,8,5
6,5,11,8,5
6,5,11,8,5
6,4,6,8,10
2,4,6,8,10
2,4,6,8,10
2,5,4,8,8
9,5,4,8,8
9,5,4,8,8
4,10,10,5,4
3,9,10,5,4
3,9,10,5,4
3,1,5,10,9
1,1,5,10,9
1,-1,5,10,9
1,1,6,9,7
7,1,6,9,7
7,1,6,9,7
7,7,9,7,9
8,7,9,7,9
8,7,9,7,9
5,3,5,7,7
5,3,5,7,7
5,3,5,7,7
9,3,8,13,15
6,3,8,14,15
6,3,8,14,15
6,4,11,15,16
12,4,12,19,16
12,4,12,19,16
11,12,14,17,18
11,12,16,17,18
11,12,16,17,18
15,14,17,28,31
17,14,17,32,36
17,14,17,32,36
19,19,27,43,53
19,18,25,43,53
19,18,25,45,57
19,17,25,57,66
21,17,26,57,76
21,17,27,57,81
24,22,33,65,93
26,20,29,66,106
26,20,29,66,106
26,20,29,75,119
26,20,27,79,119
26,20,27,79,119
26,17,27,79,125
29,17,34,87,130
29,17,34,90,130
31,16,36,95,114
25,16,36,103,114
25,16,36,103,114
25,16,36,113,98
24,16,37,118,97
24,16,37,118,97
24,13,39,125,75
29,13,39,125,75
29,13,39,126,75
29,13,41,135,69
29,13,44,135,69
26,18,46,135,69
26,18,46,136,64
26,18,46,136,64
26,18,44,136,64
26,16,50,144,56
24,16,52,144,56
24,16,60,144,56
24,19,64,143,53
27,21,73,138,53
27,21,90,138,53
22,19,90,124,44
22,19,98,119,44
22,22,104,111,44
27,22,107,89,44
29,22,111,89,44
29,20,111,89,44
28,23,98,65,39
28,23,88,65,39
28,23,83,63,39
28,23,68,55,44
28,23,68,55,42
28,23,60,55,42
20,23,43,32,24
20,19,35,31,24
20,18,29,28,24
11,8,21,14,13
11,8,21,14,13
11,8,21,14,13
9,2,16,12,10
9,2,13,12,10
9,2,13,12,10
9,1,12,11,2
8,1,12,11,2
8,1,12,11,2
1,2,15,8,7
1,2,13,8,7
