time,delta0,delta1,delta2,delta3,delta4
260,6,1,2,5,4
261,3,5,2,6,9
262,3,5,2,6,9
263,3,5,6,6,9
264,4,2,9,7,8
265,4,2,9,7,8
266,4,2,9,7,9
267,10,7,8,14,11
268,10,7,8,14,11
269,10,7,12,14,16
270,11,10,18,21,21
271,11,10,18,21,21
272,11,16,21,21,24
273,15,22,29,31,27
274,15,22,30,31,27
275,15,24,30,31,27
276,17,31,35,41,36
277,17,31,35,41,36
278,17,31,35,41,36
279,22,32,44,47,37
280,22,32,45,47,37
281,22,32,49,47,41
282,27,34,56,61,43
283,27,34,65,61,43
284,27,34,76,66,43
285,27,34,76,72,52
286,27,34,89,76,52
287,27,34,103,81,52
288,18,30,104,86,57
289,18,30,104,86,57
290,18,30,108,90,57
291,18,30,116,99,50
292,29,30,116,99,50
293,29,27,116,113,49
294,27,25,115,120,52
295,27,25,115,123,52
296,27,25,112,138,54
297,26,19,95,139,57
298,26,19,94,153,57
299,26,19,92,157,60
300,22,18,74,166,60
301,22,18,74,166,60
302,22,18,72,166,64
303,22,18,63,167,69
304,22,18,63,167,69
305,22,18,63,167,70
306,22,18,51,164,79
307,22,18,51,164,79
308,22,18,51,164,85
309,24,20,47,157,94
310,24,20,47,156,97
311,24,20,44,156,120
312,21,20,39,130,123
313,21,20,39,119,138
314,21,20,38,113,138
315,22,18,37,82,130
316,22,18,37,78,126
317,22,18,37,71,120
318,15,17,36,51,81
319,15,17,36,51,80
320,15,17,36,51,79
321,15,17,23,35,49
322,15,17,23,35,49
323,15,10,23,33,43
324,7,5,15,17,24
325,7,5,15,17,24
326,4,5,13,17,18
327,4,1,8,4,8
328,4,1,8,4,8
329,4,-3,8,4,8
330,-1,2,2,-1,3
331,-1,2,2,-1,3
332,-1,2,1,-1,3
