time,delta0,delta1,delta2,delta3,delta4
488,19,19,30,23,27
489,19,18,32,24,27
490,19,18,32,24,27
491,19,18,31,24,28
492,20,21,31,22,28
493,20,21,31,22,28
494,20,21,31,22,28
495,20,22,34,23,29
496,20,22,34,23,29
497,21,22,34,23,29
498,22,21,31,25,30
499,22,21,31,25,30
500,20,21,31,25,30
501,20,22,31,31,32
502,20,22,31,31,32
503,22,22,32,31,32
504,22,23,31,33,31
505,22,23,33,33,31
506,23,23,34,36,31
507,27,23,45,37,41
508,27,23,45,37,41
509,30,23,45,37,41
510,27,33,49,43,44
511,27,33,49,43,44
512,27,35,49,43,44
513,31,41,55,53,49
514,31,41,57,53,49
515,31,43,60,60,53
516,35,40,73,71,62
517,35,40,80,72,62
518,40,40,89,76,67
519,40,44,100,90,70
520,42,44,100,91,70
521,42,44,100,99,70
522,40,44,98,113,70
523,40,44,97,115,70
524,40,44,97,117,70
525,40,44,86,132,76
526,40,44,86,134,76
527,39,42,84,136,76
528,35,38,78,167,89
529,35,38,69,184,101
530,35,38,57,184,129
531,38,35,56,160,186
532,38,35,56,114,186
533,33,35,50,79,123
534,29,35,45,77,96
535,29,35,45,55,63
536,22,14,37,41,45
537,22,14,37,40,42
538,22,14,37,40,42
539,22,14,34,37,42
540,22,20,33,31,32
541,22,20,33,31,32
542,22,20,33,31,32
543,19,21,30,28,28
544,19,21,30,28,28
545,19,20,30,26,26
546,21,20,30,24,26
547,21,20,30,24,26
548,19,21,30,24,28
549,19,16,31,23,27
550,19,16,31,23,27
551,18,16,31,23,27
552,18,21,28,23,27
553,18,21,28,23,27
554,18,19,28,23,27
