time,delta0,delta1,delta2,delta3,delta4
884,6,11,18,18,15
885,6,11,18,16,15
886,6,11,18,16,15
887,9,7,21,16,18
888,11,7,21,19,18
889,11,7,21,19,18
890,10,8,26,23,22
891,10,8,27,23,23
892,10,8,27,23,23
893,11,15,25,27,28
894,11,15,25,27,29
895,11,15,25,27,29
896,16,15,25,37,34
897,16,13,25,37,35
898,16,13,25,37,35
899,17,13,30,47,49
900,17,15,30,49,52
901,17,15,30,49,52
902,20,18,34,57,68
903,20,18,36,62,78
904,20,18,36,62,78
905,20,19,39,69,88
906,20,19,36,71,90
907,20,19,36,71,90
908,20,26,36,77,96
909,21,25,36,93,101
910,21,25,36,93,101
911,21,25,36,97,97
912,21,25,36,105,96
913,28,22,36,105,96
914,28,22,39,109,88
915,28,22,38,112,88
916,28,22,38,112,88
917,25,19,38,115,78
918,23,19,40,118,75
919,23,19,40,118,75
920,23,27,45,126,69
921,23,23,48,132,68
922,23,23,48,132,68
923,23,23,59,133,56
924,23,25,64,133,56
925,23,25,64,133,56
926,23,25,74,116,48
927,23,22,88,108,48
928,23,22,88,108,48
929,25,22,94,98,46
930,27,27,101,94,46
931,27,27,101,94,46
932,27,32,112,84,52
933,27,35,112,79,52
934,27,35,112,79,52
935,31,37,95,71,55
936,39,42,86,71,55
937,39,42,84,71,55
938,39,42,65,69,51
939,39,42,60,54,49
940,31,42,60,54,49
941,22,38,36,45,37
942,22,31,36,32,26
943,22,27,36,32,26
944,12,15,31,21,18
945,12,15,29,21,18
946,12,15,29,21,18
947,12,16,23,21,19
948,12,12,23,19,19
949,12,12,23,19,19
950,10,8,23,15,14
951,9,8,23,15,9
952,9,8,23,15,9
953,9,10,17,16,9
954,9,11,17,17,11
955,9,11,17,17,11
